play	再生	プレイ
prev	前
next	次
yellow	黄色	イエロー
green	緑	グリーン
red	赤	レッド
blue	青	ブルー
humidify	加湿
dry	除湿	ドライ
cool	冷房
heat	暖房
auto	自動	じどう
right	右
left	左
bottom	下	した
top	上	笛	うえ
option	オプション
back	バック	戻って	モデル	戻る
enter	決定	設定	決定	エンター	選択	センター
menu	メニュー
home	ホーム	フォーム
standby	スタンバイ	スリープ
d	D	デー	ディー
c	C	シー
b	B	ビー
a	A	エイ	エー
off	停止	シャットダウン	特典	止めて	消して	オフ
on	起動	機動	軌道	つけて	オン
